frame,time_seconds,detections,track_ids,mean_confidence
261,8.7,2,4;86,0.76386
262,8.733,2,4;86,0.78689
263,8.767,2,4;86,0.76886
264,8.8,2,4;86,0.78212
265,8.833,2,4;86,0.61453
266,8.867,3,4;86;90,0.63688
267,8.9,3,4;86;90,0.65232
268,8.933,3,4;86;90,0.61852
269,8.967,3,4;86;90,0.67667
270,9.0,2,4;86,0.79674
271,9.033,2,4;86,0.8041
272,9.067,2,4;86,0.79819
273,9.1,2,4;86,0.80444
274,9.133,2,4;86,0.79401
275,9.167,2,4;86,0.78278
276,9.2,3,4;86;95,0.67186
277,9.233,2,4;86,0.79763
278,9.267,2,4;86,0.789
279,9.3,2,4;86,0.74493
280,9.333,2,86;99,0.7058
281,9.367,2,86;4,0.70648
282,9.4,2,86;4,0.56495
283,9.433,2,86;4,0.63388
284,9.467,3,86;4;70,0.75799
285,9.5,2,4;70,0.6604
286,9.533,2,4;70,0.73518
287,9.567,2,4;70,0.77848
288,9.6,2,4;70,0.72107
289,9.633,2,4;70,0.73288
290,9.667,2,4;70,0.77936
291,9.7,2,4;70,0.78265
292,9.733,2,4;70,0.76944
293,9.767,2,4;70,0.79252
294,9.8,2,4;70,0.77686
295,9.833,2,4;70,0.79385
296,9.867,2,4;70,0.79297
297,9.9,2,4;70,0.82199
298,9.933,2,4;70,0.81762
299,9.967,2,4;70,0.76997
300,10.0,2,4;70,0.80482
301,10.033,2,4;70,0.81158
302,10.067,2,4;70,0.81051
303,10.1,2,4;70,0.80907
304,10.133,2,4;70,0.80709
305,10.167,2,4;70,0.78675
306,10.2,2,4;70,0.79795
307,10.233,2,4;70,0.79518
308,10.267,2,4;70,0.7723
309,10.3,2,4;70,0.79417
310,10.333,2,4;70,0.80946
311,10.367,2,4;70,0.791
312,10.4,2,4;70,0.81746
313,10.433,2,4;70,0.80411
314,10.467,2,4;70,0.79406
315,10.5,2,4;70,0.78656
316,10.533,2,4;70,0.48777
317,10.567,3,4;70;110,0.64678
318,10.6,2,4;70,0.74167
319,10.633,2,4;70,0.75421
320,10.667,3,4;70;110,0.6377
321,10.7,2,4;70,0.78042
322,10.733,3,4;70;112,0.72521
323,10.767,2,4;70,0.82097
324,10.8,2,4;70,0.76017
325,10.833,2,4;70,0.68743
326,10.867,2,4;70,0.76415
327,10.9,2,4;70,0.81437
328,10.933,3,4;70;110,0.60153
329,10.967,2,4;70,0.79083
330,11.0,2,4;70,0.80341
331,11.033,2,4;70,0.76356
332,11.067,2,4;70,0.80339
333,11.1,2,4;70,0.80594
334,11.133,1,70,0.85289
335,11.167,2,70;4,0.80905
336,11.2,2,70;4,0.82207
337,11.233,2,70;4,0.82024
338,11.267,2,70;4,0.81613
339,11.3,2,70;4,0.8183
340,11.333,2,70;4,0.81667
341,11.367,2,70;4,0.81717
342,11.4,2,70;4,0.82701
343,11.433,2,70;4,0.81345
344,11.467,2,70;4,0.82193
345,11.5,2,70;4,0.81465
346,11.533,2,70;4,0.80259
347,11.567,2,70;4,0.78563
348,11.6,3,70;4;120,0.66471
349,11.633,3,70;4;120,0.6494
350,11.667,2,70;4,0.80675
351,11.7,2,70;4,0.80148
352,11.733,2,70;4,0.76354
353,11.767,1,70,0.83504
354,11.8,1,70,0.84717
355,11.833,1,70,0.7887
356,11.867,1,70,0.74996
357,11.9,1,70,0.78534
358,11.933,1,70,0.79686
359,11.967,1,70,0.79059
360,12.0,1,70,0.81296
361,12.033,1,70,0.80177
362,12.067,1,70,0.79328
363,12.1,1,70,0.55523
364,12.133,1,70,0.76049
365,12.167,1,70,0.76022
366,12.2,1,70,0.78015
367,12.233,2,70;123,0.62793
368,12.267,2,70;123,0.75861
369,12.3,2,70;123,0.72388
370,12.333,2,70;123,0.76647
371,12.367,2,70;123,0.76298
372,12.4,2,70;123,0.73147
373,12.433,2,70;123,0.76934
374,12.467,2,70;123,0.80442
375,12.5,2,70;123,0.764
376,12.533,2,70;123,0.68078
377,12.567,1,70,0.77037
378,12.6,2,70;123,0.73664
379,12.633,1,70,0.81617
380,12.667,2,70;123,0.66913
381,12.7,2,70;123,0.68064
382,12.733,2,70;123,0.54636
383,12.767,1,70,0.82428
384,12.8,2,70;123,0.62102
385,12.833,2,70;123,0.60054
386,12.867,1,70,0.82048
387,12.9,1,70,0.80039
388,12.933,1,70,0.79659
389,12.967,1,70,0.71963
390,13.0,1,70,0.69106
391,13.033,1,70,0.68712
392,13.067,1,70,0.76317
393,13.1,1,70,0.74269
394,13.133,2,70;123,0.63271
395,13.167,2,70;123,0.5785
396,13.2,2,70;123,0.62807
397,13.233,2,70;123,0.61952
398,13.267,1,70,0.82284
399,13.3,1,70,0.76904
400,13.333,1,70,0.77982
401,13.367,1,70,0.81111
402,13.4,1,70,0.7409
403,13.433,1,70,0.80994
404,13.467,1,70,0.77205
405,13.5,1,70,0.78954
406,13.533,1,70,0.78366
407,13.567,1,70,0.84233
408,13.6,1,70,0.8336
409,13.633,1,70,0.84577
410,13.667,1,70,0.78623
411,13.7,1,70,0.79044
412,13.733,1,70,0.74361
413,13.767,1,70,0.77601
414,13.8,1,70,0.77508
415,13.833,1,70,0.78479
416,13.867,2,70;123,0.69161
417,13.9,2,70;123,0.68833
418,13.933,2,70;123,0.66731
419,13.967,2,70;123,0.74525
420,14.0,2,70;123,0.72346
421,14.033,1,70,0.86893
422,14.067,1,70,0.86733
423,14.1,1,70,0.83326
424,14.133,2,70;123,0.58671
425,14.167,2,70;123,0.59579
426,14.2,1,70,0.7993
427,14.233,2,70;123,0.66427
428,14.267,2,70;123,0.61196
429,14.3,2,70;123,0.68151
430,14.333,2,70;123,0.66435
431,14.367,1,70,0.87005
432,14.4,1,70,0.77734
433,14.433,1,70,0.80149
434,14.467,1,70,0.84108
435,14.5,1,70,0.79214
436,14.533,1,70,0.82383
437,14.567,1,70,0.81298
438,14.6,1,70,0.81882
439,14.633,1,70,0.79208
440,14.667,1,70,0.75274
441,14.7,1,70,0.76809
442,14.733,1,70,0.75174
443,14.767,1,70,0.75281
444,14.8,1,70,0.71729
445,14.833,1,70,0.66439
446,14.867,2,70;129,0.59115
447,14.9,1,129,0.65032
448,14.933,1,129,0.50591
449,14.967,2,129;70,0.47319
450,15.0,2,129;70,0.62966
451,15.033,1,129,0.79602
452,15.067,1,129,0.77714
453,15.1,2,129;70,0.61
454,15.133,2,129;70,0.64466
455,15.167,2,129;70,0.63915
456,15.2,2,129;70,0.57169
457,15.233,1,70,0.64685
458,15.267,1,70,0.65972
459,15.3,3,70;130;129,0.58403
460,15.333,3,70;130;129,0.66205
461,15.367,2,130;129,0.59849
462,15.4,2,130;129,0.64047
463,15.433,2,130;129,0.65898
464,15.467,2,130;129,0.60715
465,15.5,2,130;129,0.66389
466,15.533,3,130;129;70,0.64366
467,15.567,3,130;129;70,0.56247
468,15.6,2,130;129,0.59212
469,15.633,2,130;129,0.60065
470,15.667,2,130;129,0.67704
471,15.7,2,130;70,0.5576
472,15.733,1,129,0.81964
473,15.767,1,129,0.86724
474,15.8,1,129,0.8639
475,15.833,1,129,0.84449
476,15.867,1,129,0.68687
477,15.9,1,129,0.75648
478,15.933,1,129,0.75709
479,15.967,1,129,0.73438
480,16.0,1,129,0.7042
481,16.033,1,129,0.80044
482,16.067,1,129,0.86125
483,16.1,1,129,0.83415
484,16.133,1,129,0.83155
485,16.167,1,-1,0.80791
486,16.2,1,70,0.72846
487,16.233,1,-1,0.86037
488,16.267,1,136,0.8441
489,16.3,1,136,0.83046
490,16.333,1,136,0.83371
491,16.367,2,136;138,0.64184
492,16.4,1,136,0.87808
493,16.433,2,136;139,0.78772
494,16.467,1,136,0.81279
495,16.5,2,136;142,0.76147
496,16.533,1,136,0.85208
497,16.567,1,136,0.87728
498,16.6,1,136,0.87256
499,16.633,1,136,0.90962
500,16.667,1,136,0.82995
501,16.7,1,136,0.8619
502,16.733,1,136,0.83962
503,16.767,1,136,0.83626
504,16.8,1,136,0.8422
505,16.833,1,136,0.84893
506,16.867,1,136,0.84198
507,16.9,1,136,0.83548
508,16.933,1,136,0.85131
509,16.967,1,136,0.863
510,17.0,1,136,0.832
511,17.033,1,136,0.7665
512,17.067,1,136,0.81572
513,17.1,1,136,0.78629
514,17.133,1,136,0.71891
515,17.167,1,136,0.61568
516,17.2,2,136;144,0.61708
517,17.233,1,136,0.76779
518,17.267,2,136;144,0.68285
519,17.3,2,136;144,0.63792
520,17.333,2,136;144,0.62399
521,17.367,1,136,0.83974
522,17.4,1,136,0.85063
523,17.433,1,136,0.83901
524,17.467,2,136;145,0.82383
525,17.5,2,136;145,0.81712
526,17.533,2,136;145,0.82696
527,17.567,2,136;145,0.63852
528,17.6,2,136;145,0.69805
529,17.633,2,136;145,0.71699
530,17.667,1,136,0.8685
531,17.7,1,136,0.87929
532,17.733,1,136,0.85038
533,17.767,2,136;145,0.65845
534,17.8,2,136;145,0.70161
535,17.833,1,145,0.73459
536,17.867,1,136,0.79055
537,17.9,1,136,0.7571
538,17.933,1,136,0.80796
539,17.967,1,136,0.78032
540,18.0,1,136,0.72009
541,18.033,3,136;150;145,0.63447
542,18.067,2,136;145,0.68682
543,18.1,1,136,0.82618
544,18.133,1,136,0.82401
545,18.167,1,136,0.87447
546,18.2,1,136,0.88793
547,18.233,1,136,0.83901
548,18.267,1,-1,0.27395
549,18.3,1,136,0.77253
